City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
501,sabang,5.8933,95.3214,26.5,77,88,7.37,ID,1674518907
502,san roque,36.2107,-5.3842,8.46,57,1,1.54,ES,1674518907
503,kununurra,-15.7667,128.7333,28.99,79,95,2.06,AU,1674518908
504,berlevag,70.8578,29.0864,0.0,69,42,12.86,NO,1674518909
505,magrath,49.4167,-112.8686,-2.59,70,67,5.86,CA,1674518829
506,vangaindrano,-23.35,47.6,24.21,93,100,6.17,MG,1674518909
507,turayf,31.6725,38.6637,8.2,69,0,3.6,SA,1674518910
508,roald,62.5833,6.1333,8.52,87,100,8.23,NO,1674518910
509,chaman,30.9236,66.4512,-0.27,71,6,0.74,PK,1674518910
510,kloulklubed,7.0419,134.2556,25.28,83,91,7.43,PW,1674518911
511,ocampo,21.65,-101.5,18.27,23,34,6.51,MX,1674518714
512,indianola,41.3581,-93.5574,-1.08,81,74,3.13,US,1674518912
513,kirakira,-10.4544,161.9205,27.4,82,98,3.29,SB,1674518912
514,sept-iles,50.2001,-66.3821,-9.97,88,78,2.54,CA,1674518823
515,saint-pierre,-21.3393,55.4781,23.28,88,0,2.06,RE,1674518913
516,sobolevo,54.4299,31.8996,-0.4,90,100,0.95,RU,1674518913
517,police,53.5521,14.5718,0.18,82,15,0.89,PL,1674518914
518,visby,57.6409,18.296,-1.21,86,100,6.69,SE,1674518914
519,placido de castro,-10.3353,-67.1856,23.16,87,97,1.48,BR,1674518915
520,dorado,18.4588,-66.2677,25.94,78,53,4.0,PR,1674518915
521,matay,28.419,30.7792,13.02,88,0,4.77,EG,1674518916
522,saldanha,-33.0117,17.9442,17.21,85,4,3.14,ZA,1674518916
523,laiwu,36.1928,117.6569,-13.85,20,44,5.27,CN,1674518916
524,waipawa,-41.4122,175.5153,15.32,65,59,3.01,NZ,1674518917
525,dudinka,69.4058,86.1778,-36.36,98,7,1.22,RU,1674518917
526,caravelas,-17.7125,-39.2481,26.07,85,100,4.93,BR,1674518918
527,nantucket,41.2835,-70.0995,1.19,98,100,8.23,US,1674518646
528,poum,-20.2333,164.0167,27.16,78,49,2.52,NC,1674518918
529,nicoya,10.1483,-85.452,26.84,61,29,3.66,CR,1674518919
530,candelaria,13.9311,121.4233,26.33,85,76,2.9,PH,1674518919
531,santo domingo,18.5001,-69.9886,25.58,79,2,0.89,DO,1674518920
532,kumluca,36.3703,30.2869,14.14,55,0,2.03,TR,1674518920
533,shizuishan,39.2333,106.7694,-19.01,60,0,3.98,CN,1674518920
534,adelaide,-34.9333,138.6,26.9,51,0,2.06,AU,1674518834
535,mount vernon,40.9126,-73.8371,3.56,75,100,10.29,US,1674518696
536,ryotsu,38.0833,138.4333,3.16,92,100,4.93,JP,1674518921
537,barguzin,53.6167,109.6167,-35.58,86,80,2.2,RU,1674518922
538,piacabucu,-10.4056,-36.4344,26.19,82,2,5.07,BR,1674518922
539,kysyl-syr,63.8986,122.7617,-36.3,99,100,1.47,RU,1674518923
540,tanout,14.9709,8.8879,20.65,14,62,4.13,NE,1674518923
541,todos santos,23.45,-110.2167,24.06,72,21,3.23,MX,1674518923
542,bela vista,-22.1089,-56.5211,21.9,92,91,2.27,BR,1674518830
543,svecha,58.2785,47.5164,-11.51,98,100,1.43,RU,1674518924
544,gornopravdinsk,60.05,69.9,-19.97,100,84,1.42,RU,1674518924
545,pangoa,-12.1167,-73.0,20.87,98,94,0.7,PE,1674518925
546,abalak,58.1286,68.5944,-15.77,97,83,2.71,RU,1674518925
547,bose,45.4612,8.0137,5.42,93,100,2.6,IT,1674518926
548,pangkalanbuun,-2.6833,111.6167,24.53,94,100,1.05,ID,1674518926
549,porto empedocle,37.2934,13.5264,9.2,67,37,1.93,IT,1674518927
550,sambava,-14.2667,50.1667,23.9,87,100,1.56,MG,1674518927
551,tromso,69.6496,18.957,0.01,74,75,7.2,NO,1674518928
552,new ulm,44.3125,-94.4605,1.35,88,0,5.14,US,1674518928
553,zhuhai,22.2769,113.5678,13.88,67,40,12.86,CN,1674518929
554,zell am see,47.3256,12.7944,2.06,49,97,2.19,AT,1674518929
555,ketchikan,55.3422,-131.6461,8.26,76,75,0.0,US,1674518930
556,rocha,-34.4833,-54.3333,16.67,76,0,2.03,UY,1674518930
557,olecko,54.0337,22.507,-0.34,85,100,1.08,PL,1674518930
558,galdar,28.147,-15.6502,17.28,67,64,6.7,ES,1674518931
559,acarau,-2.8856,-40.12,25.71,82,79,4.1,BR,1674518817
560,vao,-22.6667,167.4833,26.03,83,93,2.28,NC,1674518932
561,marzuq,14.4,46.4667,14.87,72,3,1.22,YE,1674518932
562,komarikhinskiy,58.0979,57.1163,-18.97,100,100,1.24,RU,1674518933
563,shelburne,44.0787,-80.2041,-1.16,91,71,6.47,CA,1674518933
564,bramming,55.4695,8.7001,1.36,80,75,2.06,DK,1674518934
565,carbonia,39.1672,8.5222,5.56,83,99,4.13,IT,1674518934
566,grand gaube,-20.0064,57.6608,24.1,79,100,1.34,MU,1674518934
567,malanje,-9.5402,16.341,16.36,98,98,1.77,AO,1674518935
568,orissaare,58.5592,23.0826,0.54,87,33,5.63,EE,1674518936
569,tynda,55.1667,124.7167,-33.96,94,100,1.53,RU,1674518936
570,santa maria,-29.6842,-53.8069,28.85,33,61,2.41,BR,1674518936
571,laguna,38.421,-121.4238,17.16,28,0,7.72,US,1674518937
572,jacareacanga,-6.2222,-57.7528,23.47,97,91,0.76,BR,1674518937
573,sweetwater,25.7634,-80.3731,23.34,75,75,3.6,US,1674518640
574,cognac,45.5,-0.25,2.88,70,100,4.12,FR,1674518938
575,liwale,-9.7667,37.9333,19.72,93,100,1.61,TZ,1674518939
576,okha,53.5739,142.9478,-28.67,94,100,7.61,RU,1674518939
577,aasiaat,68.7098,-52.8699,-12.32,96,100,3.44,GL,1674518939
578,troitsko-pechorsk,62.7084,56.1964,-12.17,93,83,2.42,RU,1674518940
579,elliot lake,46.3834,-82.6331,-3.25,89,100,5.29,CA,1674518941
580,shuiji,27.4214,118.345,5.78,88,80,1.86,CN,1674518941
581,byron bay,-28.65,153.6167,26.64,60,13,3.18,AU,1674518671
582,quelimane,-17.8786,36.8883,22.62,97,91,2.04,MZ,1674518942
583,weyburn,49.6668,-103.8511,-10.47,97,100,2.18,CA,1674518835
584,russell,32.3502,-85.1999,8.78,75,0,0.0,US,1674518943
